Athlete,Organization,Sport,Location,League,Injury,Expected duration,Financial impact ($),Financial impact (calculation),Team/game impact,Date reported,Source,Source URL
Kamilla Cardoso,Chicago Sky (WNBA),Basketball,"Chicago, Illinois",WNBA,Right knee injury,Listed questionable for the Sky's July 16 game vs. the Seattle Storm; in danger of missing her first game of the season,706,"prorated sunk cost (annual salary ~$85,873 per Spotrac ÷ 365 × 3 days out) [questionable status, day-to-day default]",Would be the first missed game of the season for the No. 3 overall 2024 pick if she sits; Elizabeth Williams poised for a spot start,2026-07-15,"Athlon Sports - Final Injury Report for Storm-Sky: Will Kamilla Cardoso, Skylar Diggins Play?",https://athlonsports.com/wnba/chicago-sky/final-injury-report-for-storm-sky-will-kamilla-cardoso-skylar-diggins-play
Junior Caminero,Tampa Bay Rays (MLB),Baseball,"St. Petersburg, Florida",MLB,Right hand injury after being hit by a pitch during the 2026 All-Star Game; X-rays came back negative,Day-to-day; no injured list move reported following negative X-rays,6532,"prorated sunk cost (annual salary ~$794,800 per Spotrac ÷ 365 × 3 days out)",Rays monitor their All-Star third baseman's availability for the second half after the All-Star Game scare,2026-07-14,DraftKings Network - What happened to Junior Caminero? Injury updates for 2026 MLB All-Star Game,https://dknetwork.draftkings.com/2026/07/14/what-happened-to-junior-caminero-injury-updates-for-2026-mlb-all-star-game/
Trey Alexander,Utah Jazz (NBA) — Las Vegas Summer League,Basketball,"Salt Lake City, Utah (team); Las Vegas, Nevada (Summer League site)",NBA Summer League,Rib contusion sustained driving to the basket; taken off the court on a stretcher,Not specified in available reporting; team confirmed rib contusion diagnosis a day after the injury,5579,"prorated sunk cost (annual salary ~$678,882 (two-way) per Hoops Rumors ÷ 365 × 3 days out) [assumption: no timeline given, day-to-day default]",Jazz lose a newly-signed two-way guard for Summer League evaluation reps after a scary stretcher exit,2026-07-14,Yahoo Sports - Jazz guard Trey Alexander leaves Summer League game on stretcher with rib contusion,https://sports.yahoo.com/nba/breaking-news/article/jazz-guard-trey-alexander-leaves-summer-league-game-on-stretcher-with-rib-contusion-055652310.html
William Saliba,Arsenal (Premier League) / France National Team (2026 FIFA World Cup),Soccer,"London, England",International Soccer,Recurrence of a back issue carried since Arsenal's Champions League final; forced off around the 29th minute of France's World Cup semifinal loss to Spain,No diagnosis or return timeline disclosed; had been managing the issue throughout the World Cup,,Not applicable — no fixed salary information available for this national-team context,"Compounds France's growing injury list in a 0-2 semifinal defeat; replaced by Crystal Palace's Maxence Lacroix, with Arsenal also monitoring the issue heading into preseason",2026-07-14,beIN Sports - William Saliba leaves the field injured and in tears during the 2026 World Cup semifinal between France and Spain,https://www.beinsports.com/en-us/soccer/fifa-world-cup-2026/articles/france-suffers-an-unexpected-blow-that-brings-back-a-painful-scene-from-the-last-world-cup-2026-07-14
Chris Harper,Q36.5 Pro Cycling Team (Tour de France) — Australia,Cycling,"Zurich, Switzerland (team HQ)",UCI ProTeam / Tour de France,"Serious injury to the thumb of his left hand, sustained in a crash on the descent of the Puy Mary during stage 10 (same corner where Tom Pidcock and Matteo Jorgenson also crashed); underwent surgery",Unable to start stage 11; withdrew from the Tour de France; recovery timeline not specified in available reporting,,"Not disclosed in available reporting — no specific prize money forfeiture figure found Potential prize money at stake (ceiling, not a claim of what the athlete would have won): €2,302,800 (~$2.6M) total tournament prize purse for the 2026 Tour de France (per Velo/Outside Online).",Q36.5 Pro Cycling Team loses a rider mid-Tour after a dangerous descent that felled multiple riders,2026-07-14,idlprocycling - Chris Harper withdraws from the Tour de France with a 'serious injury' after crash in same turn as Pidcock,https://www.idlprocycling.com/cycling/chris-harper-withdraws-from-the-tour-de-france-with-a-serious-injury-after-crash-in-same-turn-as-pidcock
Kierstan Bell,Las Vegas Aces (WNBA),Basketball,"Las Vegas, Nevada",WNBA,Right leg injury (specific diagnosis not disclosed in available reporting),Ruled out for the Aces' July 13 game vs. the Indiana Fever; no return timeline given,2281,"prorated sunk cost (annual salary ~$277,500 per Spotrac ÷ 365 × 3 days out) [assumption: single-game absence, no timeline, day-to-day default]","Aces without a rotation forward who had recently moved into the starting lineup, adding to the team's list of unavailable players",2026-07-13,Yahoo Sports - Final Injury Report for Fever-Aces: Will Caitlin Clark Play?,https://sports.yahoo.com/articles/final-injury-report-fever-aces-210000827.html
Izaiyah Nelson,Orlando Magic (NBA Summer League),Basketball,"Orlando, Florida",NBA Summer League,"Ankle fracture, sustained landing awkwardly after a chase-down block attempt",Will undergo surgery; ruled out for the remainder of Summer League,13020,"prorated sunk cost (annual salary ~$678,882 (two-way) per Hoops Rumors ÷ 365 × 7 days out) [assumption: ruled out for remainder of NBA Summer League (~July 13-20); true post-surgery recovery likely longer but not specified]",Magic lose their second-round pick's Summer League evaluation window,2026-07-13,NBC Sports - Magic second-round pick Izaiyah Nelson will have surgery on ankle fracture suffered at Summer League,https://www.nbcsports.com/nba/news/magic-second-round-pick-izaiyah-nelson-will-have-surgery-on-ankle-fracture-suffered-at-summer-league
Ace Bailey,Utah Jazz (NBA Summer League),Basketball,"Salt Lake City, Utah",NBA Summer League,"Recurring back spasms, first flared up during Salt Lake City Summer League and recurred in Las Vegas",Did not return after halftime on July 13 vs. Portland; held out of the July 14 game vs. Chicago as the Jazz prioritize long-term health,78272,"prorated sunk cost (annual salary ~$9.52M per Spotrac ÷ 365 × 3 days out) [assumption: held out as precaution, no formal diagnosis/timeline, day-to-day default]",Jazz hold their 2025 lottery pick out of further Summer League action out of caution,2026-07-13,SI - Ace Bailey's Latest Injury Could End His Jazz Summer League Run,https://www.si.com/nba/jazz/onsi/ace-bailey-s-latest-injury-could-end-his-jazz-summer-league-run
Kevin Holland,UFC,Mixed Martial Arts,"N/A — individual fighter, not tied to a team location",UFC,Undisclosed injury,Pulled from his scheduled bout with Jacobe Smith at UFC Oklahoma City (July 18); bout removed from the card,,Not disclosed in available reporting — no specific prize money forfeiture figure found,Not disclosed in available reporting,2026-07-13,UFC.com - Updates To UFC Oklahoma City,https://www.ufc.com/news/updates-ufc-oklahoma-city
Veronica Hardy,UFC,Mixed Martial Arts,"N/A — individual fighter, not tied to a team location",UFC,Undisclosed injury,Pulled from her flyweight bout with Dione Barbosa at UFC Oklahoma City (July 18); replaced by Anna Melisano,,Not disclosed in available reporting — no specific prize money forfeiture figure found,Not disclosed in available reporting,2026-07-13,UFC.com - Updates To UFC Oklahoma City,https://www.ufc.com/news/updates-ufc-oklahoma-city
